cell_idx,R_lo,R_hi,sigma_R,eps_abs,eps_floor,extremeR,gamma_bc,option_beta,ac2_N,ac2_LOSS,ac2_eliminated,ac2_first_loss_stamp,ac1_N,ac1_recovered,ac1_wilson_ub_pct,b6_rescue,b6_regress_correct_to_CW,b6_regress_abstain_to_CW,b6_regress_CW_worse_delta,b6_no_change_correct,b6_no_change_CW_same_or_better,alpha_commits,beta_fires,elapsed_ms
3687,0.4,1.1,0.3,0.015,0.1,0,2,1,362,1,1,2026-04-04_16-15-39-652Z,0,0,0,0,0,0,0,4,1,0,0,2
3688,0.4,1.1,0.3,0.015,0.1,1,1,0,362,1,1,2026-04-04_16-15-39-652Z,0,0,0,0,0,0,0,4,1,0,0,1
3689,0.4,1.1,0.3,0.015,0.1,1,1,1,362,1,1,2026-04-04_16-15-39-652Z,0,0,0,0,0,0,0,4,1,0,0,2
3690,0.4,1.1,0.3,0.015,0.1,1,1.3,0,362,1,1,2026-04-04_16-15-39-652Z,0,0,0,0,0,0,0,4,1,0,0,1
3691,0.4,1.1,0.3,0.015,0.1,1,1.3,1,362,1,1,2026-04-04_16-15-39-652Z,0,0,0,0,0,0,0,4,1,0,0,2
3692,0.4,1.1,0.3,0.015,0.1,1,1.6,0,362,1,1,2026-04-04_16-15-39-652Z,0,0,0,0,0,0,0,4,1,0,0,2
3693,0.4,1.1,0.3,0.015,0.1,1,1.6,1,362,1,1,2026-04-04_16-15-39-652Z,0,0,0,0,0,0,0,4,1,0,0,2
3694,0.4,1.1,0.3,0.015,0.1,1,2,0,362,1,1,2026-04-04_16-15-39-652Z,0,0,0,0,0,0,0,4,1,0,0,1
3695,0.4,1.1,0.3,0.015,0.1,1,2,1,362,1,1,2026-04-04_16-15-39-652Z,0,0,0,0,0,0,0,4,1,0,0,2
3696,0.4,1.1,0.3,0.02,0.06,0,1,0,362,1,1,2026-04-04_16-15-39-652Z,0,0,0,0,0,0,0,4,1,0,0,2
3697,0.4,1.1,0.3,0.02,0.06,0,1,1,362,1,1,2026-04-04_16-15-39-652Z,0,0,0,0,0,0,0,4,1,0,0,2
3698,0.4,1.1,0.3,0.02,0.06,0,1.3,0,362,1,1,2026-04-04_16-15-39-652Z,0,0,0,0,0,0,0,4,1,0,0,1
3699,0.4,1.1,0.3,0.02,0.06,0,1.3,1,362,1,1,2026-04-04_16-15-39-652Z,0,0,0,0,0,0,0,4,1,0,0,2
3700,0.4,1.1,0.3,0.02,0.06,0,1.6,0,362,1,1,2026-04-04_16-15-39-652Z,0,0,0,0,0,0,0,4,1,0,0,2
3701,0.4,1.1,0.3,0.02,0.06,0,1.6,1,362,1,1,2026-04-04_16-15-39-652Z,0,0,0,0,0,0,0,4,1,0,0,1
3702,0.4,1.1,0.3,0.02,0.06,0,2,0,362,1,1,2026-04-04_16-15-39-652Z,0,0,0,0,0,0,0,4,1,0,0,2
3703,0.4,1.1,0.3,0.02,0.06,0,2,1,362,1,1,2026-04-04_16-15-39-652Z,0,0,0,0,0,0,0,4,1,0,0,1
3704,0.4,1.1,0.3,0.02,0.06,1,1,0,362,1,1,2026-04-04_16-15-39-652Z,0,0,0,0,0,0,0,4,1,0,0,2
