stamp,actual,bucket,tc,conf,correct,abstain,confidentWrong,offBy,budgetExhausted,runtime,method
2026-04-22_07-19-57-602Z,14,Small  9-15T,14,1.000,1,0,0,0,0,680,
2026-04-22_07-21-28-608Z,14,Small  9-15T,14,1.000,1,0,0,0,0,697,
2026-04-22_07-23-07-738Z,11,Small  9-15T,12,0.000,0,1,0,1,0,897,
2026-04-22_07-27-06-532Z,11,Small  9-15T,11,0.805,1,0,0,0,0,1068,
2026-04-22_18-55-06-131Z,11,Small  9-15T,11,0.000,0,1,0,0,0,680,
2026-04-22_19-01-14-588Z,11,Small  9-15T,11,1.000,1,0,0,0,0,669,
2026-04-22_19-02-53-014Z,14,Small  9-15T,14,1.000,1,0,0,0,0,832,
2026-04-22_19-04-18-312Z,14,Small  9-15T,14,1.000,1,0,0,0,0,879,
2026-04-22_19-05-59-553Z,15,Small  9-15T,10,0.000,0,1,0,5,0,1367,
2026-04-22_19-07-26-398Z,15,Small  9-15T,15,1.000,1,0,0,0,0,930,
2026-04-22_19-08-58-873Z,18,Mid    16-20T,18,1.000,1,0,0,0,0,881,
2026-04-22_19-10-24-880Z,18,Mid    16-20T,18,1.000,1,0,0,0,0,764,
2026-04-22_19-12-17-955Z,21,Large  21-28T,0,0.000,0,1,0,21,0,955,
2026-04-22_19-14-01-206Z,21,Large  21-28T,21,0.000,0,1,0,0,0,1222,
2026-04-22_19-16-09-601Z,24,Large  21-28T,15,0.000,0,1,0,9,0,969,
2026-04-22_19-21-10-295Z,24,Large  21-28T,0,0.000,0,1,0,24,0,1394,
2026-04-22_19-23-01-893Z,28,Large  21-28T,0,0.000,0,1,0,28,0,1056,
2026-04-22_19-24-58-121Z,28,Large  21-28T,20,0.383,0,0,1,8,0,1225,
2026-04-23_07-06-21-245Z,28,Large  21-28T,28,0.891,1,0,0,0,0,912,
2026-04-23_07-08-27-801Z,28,Large  21-28T,11,0.462,0,0,1,17,0,1024,
2026-04-23_07-10-59-824Z,28,Large  21-28T,28,0.887,1,0,0,0,0,887,
2026-04-23_07-13-06-829Z,24,Large  21-28T,24,1.000,1,0,0,0,0,901,
2026-04-23_07-15-00-335Z,24,Large  21-28T,0,0.000,0,1,0,24,0,1082,
2026-04-23_07-16-38-914Z,24,Large  21-28T,24,1.000,1,0,0,0,0,934,
2026-04-23_07-21-34-334Z,21,Large  21-28T,44,0.000,0,1,0,23,0,1142,
2026-04-23_07-26-37-883Z,21,Large  21-28T,19,0.000,0,1,0,2,0,1051,
2026-04-23_07-28-28-784Z,18,Mid    16-20T,18,1.000,1,0,0,0,0,691,
2026-04-23_07-30-31-621Z,18,Mid    16-20T,18,1.000,1,0,0,0,0,807,
2026-04-24_06-12-35-051Z,28,Large  21-28T,28,1.000,1,0,0,0,0,1107,
2026-04-24_06-54-08-266Z,28,Large  21-28T,28,1.000,1,0,0,0,0,891,
2026-04-24_06-56-14-137Z,28,Large  21-28T,28,0.887,1,0,0,0,0,979,
2026-04-24_06-58-18-724Z,24,Large  21-28T,24,0.865,1,0,0,0,0,1028,
2026-04-24_07-00-14-707Z,24,Large  21-28T,24,0.891,1,0,0,0,0,953,
2026-04-24_07-02-48-626Z,21,Large  21-28T,16,0.621,0,0,1,5,0,1428,
2026-04-24_07-05-25-396Z,21,Large  21-28T,21,0.757,1,0,0,0,0,1394,
2026-04-24_07-07-20-597Z,14,Small  9-15T,14,0.953,1,0,0,0,0,803,
2026-04-24_07-09-14-763Z,14,Small  9-15T,14,1.000,1,0,0,0,0,869,
2026-04-24_07-11-12-161Z,18,Mid    16-20T,18,1.000,1,0,0,0,0,851,
2026-04-24_07-13-18-924Z,15,Small  9-15T,15,1.000,1,0,0,0,0,914,
2026-04-24_07-16-06-580Z,11,Small  9-15T,11,1.000,1,0,0,0,0,948,
2026-04-24_10-43-48-529Z,28,Large  21-28T,28,1.000,1,0,0,0,0,974,
2026-04-24_10-49-42-902Z,17,Mid    16-20T,17,1.000,1,0,0,0,0,1051,
2026-04-24_10-52-59-789Z,11,Small  9-15T,11,1.000,1,0,0,0,0,975,
2026-04-24_10-54-55-930Z,42,XL     29-60T,40,0.000,0,1,0,2,0,1152,
2026-04-25_07-56-26-889Z,21,Large  21-28T,21,1.000,1,0,0,0,0,827,
2026-04-25_07-58-59-154Z,42,XL     29-60T,42,0.570,1,0,0,0,0,1220,
2026-04-25_08-03-37-711Z,11,Small  9-15T,11,0.000,0,1,0,0,0,972,
2026-04-25_08-05-45-433Z,42,XL     29-60T,42,0.948,1,0,0,0,0,927,
2026-04-25_08-45-07-271Z,36,XL     29-60T,37,0.000,0,1,0,1,0,1319,
2026-04-25_09-03-13-830Z,51,XL     29-60T,0,0.000,0,1,0,51,0,1297,
2026-04-26_08-54-51-262Z,52,XL     29-60T,28,0.000,0,1,0,24,0,760,
2026-04-27_07-56-37-377Z,42,XL     29-60T,41,0.691,1,0,0,1,0,865,
2026-04-27_07-59-59-093Z,42,XL     29-60T,20,0.000,0,1,0,22,0,1156,
2026-04-27_13-21-00-705Z,52,XL     29-60T,0,0.000,0,1,0,52,0,1017,
2026-04-27_13-24-12-798Z,52,XL     29-60T,0,0.000,0,1,0,52,0,1064,
2026-04-27_13-27-43-775Z,52,XL     29-60T,0,0.000,0,1,0,52,0,996,
2026-04-28_06-50-20-391Z,42,XL     29-60T,0,0.000,0,1,0,42,0,1384,
2026-04-28_06-52-14-899Z,42,XL     29-60T,10,0.292,0,0,1,32,0,1220,
2026-04-28_06-54-24-694Z,42,XL     29-60T,0,0.000,0,1,0,42,0,1087,
2026-04-28_06-56-36-143Z,52,XL     29-60T,11,0.420,0,0,1,41,0,1183,
2026-04-28_06-58-55-390Z,52,XL     29-60T,53,0.000,0,1,0,1,0,1248,
2026-04-28_07-01-23-211Z,52,XL     29-60T,0,0.000,0,1,0,52,0,798,
2026-04-28_07-03-25-120Z,42,XL     29-60T,0,0.000,0,1,0,42,0,1421,
2026-04-28_11-25-03-709Z,42,XL     29-60T,42,1.000,1,0,0,0,0,999,
2026-04-28_11-42-46-509Z,42,XL     29-60T,42,0.697,1,0,0,0,0,980,
2026-04-28_14-00-29-906Z,42,XL     29-60T,13,0.000,0,1,0,29,0,2495,
